video_id,title,published_at,category,language,duration_seconds,views,likes,comments,shares,sentiment_score,region,ads_enabled,watch_time_hours,estimated_revenue_usd,subscribers_gained
v0029,Middle East Launch Meta #29,2024-01-29,Gaming,Arabic,931,374656,25840,2780,2650,0.78,Middle East,True,41972.7,2099.77,1130
v0030,Middle East Studio Reset #30,2024-01-30,Lifestyle,English,598,184490,14599,2345,648,0.71,Middle East,True,12588.2,1845.13,779
v0031,Africa Growth Workshop #31,2024-01-31,Education,French,701,104932,6360,618,795,0.92,Africa,True,8094.6,885.15,168
v0032,Africa Next.js Review #32,2024-02-01,Technology,French,737,212681,13424,1601,1200,0.91,Africa,True,20863.6,1400.96,803
v0033,Africa Revenue Pulse #33,2024-02-02,Business,English,684,85458,6810,549,384,0.77,Africa,True,8375.7,320.41,99
v0034,Africa Investor Lens #34,2024-02-03,Finance,French,768,161701,11073,1342,853,0.72,Africa,True,11429.3,1287.7,666
v0035,Africa Creator Challenge #35,2024-02-04,Gaming,English,799,88803,5395,1329,253,0.68,Africa,False,6451.6,176.87,253
v0036,Africa Weekly Upgrade #36,2024-02-05,Lifestyle,French,514,354100,26156,3664,3401,0.73,Africa,False,25189.0,714.14,675
v0037,North America SQL Playbook #37,2024-02-06,Education,English,699,84358,4649,1047,323,0.84,North America,False,6290.3,258.22,108
v0038,North America AI Systems #38,2024-02-07,Technology,English,793,374806,22505,3259,1349,0.83,North America,True,33655.4,3619.78,1141
v0039,North America Boardroom Brief #39,2024-02-08,Business,English,822,269091,18881,3812,2716,0.79,North America,False,25027.1,725.95,783
v0040,North America Budget Watch #40,2024-02-09,Finance,English,534,137639,9952,1727,1254,0.83,North America,True,11177.4,1410.75,394
v0041,North America Launch Meta #41,2024-02-10,Gaming,Spanish,640,397802,16995,2685,1848,0.79,North America,True,29512.7,2081.5,1622
v0042,North America Studio Reset #42,2024-02-11,Lifestyle,Spanish,558,382934,22934,6126,1855,0.81,North America,True,28017.8,3329.08,1256
v0043,Europe Growth Workshop #43,2024-02-12,Education,English,711,112132,4985,1372,949,0.77,Europe,False,7462.8,263.25,405
v0044,Europe Next.js Review #44,2024-02-13,Technology,English,467,158915,9795,2359,804,0.74,Europe,False,11412.6,210.89,488
v0045,Europe Revenue Pulse #45,2024-02-14,Business,French,640,219256,15834,2318,473,0.69,Europe,True,17118.3,1701.4,272
v0046,Europe Investor Lens #46,2024-02-15,Finance,French,628,275551,19074,4289,1143,0.71,Europe,True,24817.5,1873.13,741
v0047,Europe Creator Challenge #47,2024-02-16,Gaming,German,847,346901,16439,3168,2889,0.88,Europe,False,36692.1,867.18,755
v0048,Europe Weekly Upgrade #48,2024-02-17,Lifestyle,German,569,197381,15051,2420,829,0.75,Europe,False,9135.8,631.3,256
v0049,Asia SQL Playbook #49,2024-02-18,Education,Japanese,608,191265,10617,710,833,0.85,Asia,True,13025.4,860.27,635
v0050,Asia AI Systems #50,2024-02-19,Technology,Hindi,687,283911,19231,1955,1132,0.76,Asia,True,17542.5,1164.65,402
v0051,Asia Boardroom Brief #51,2024-02-20,Business,Japanese,713,266760,16619,3468,1865,0.74,Asia,False,29826.7,776.34,543
v0052,Asia Budget Watch #52,2024-02-21,Finance,Hindi,815,231442,13322,3334,1572,0.86,Asia,True,22081.3,1396.9,380
v0053,Asia Launch Meta #53,2024-02-22,Gaming,English,691,227910,9408,3108,2292,0.7,Asia,True,13729.7,1033.77,673
v0054,Asia Studio Reset #54,2024-02-23,Lifestyle,Hindi,420,411290,22724,5861,4282,0.79,Asia,True,18018.2,3061.65,1288
v0055,Latin America Growth Workshop #55,2024-02-24,Education,Spanish,745,99385,4208,441,181,0.81,Latin America,False,8558.8,229.99,200
v0056,Latin America Next.js Review #56,2024-02-25,Technology,Spanish,762,69307,3236,928,480,0.83,Latin America,True,7556.4,287.14,97
v0057,Latin America Revenue Pulse #57,2024-02-26,Business,Spanish,637,96263,3847,1165,759,0.77,Latin America,True,9435.5,626.06,262
v0058,Latin America Investor Lens #58,2024-02-27,Finance,Spanish,681,153269,11541,1661,303,0.86,Latin America,True,14616.5,1380.51,462
v0059,Latin America Creator Challenge #59,2024-02-28,Gaming,Spanish,900,894693,57680,8630,2320,0.81,Latin America,True,86657.5,4652.23,2993
v0060,Latin America Weekly Upgrade #60,2024-02-29,Lifestyle,Spanish,729,266357,16089,2446,1208,0.76,Latin America,True,20524.0,2708.17,643
v0061,Middle East SQL Playbook #61,2024-03-01,Education,Arabic,819,128005,8999,1448,1076,0.89,Middle East,True,10104.9,881.18,543
v0062,Middle East AI Systems #62,2024-03-02,Technology,English,555,181501,12354,1340,348,0.73,Middle East,False,11311.1,252.8,716
v0063,Middle East Boardroom Brief #63,2024-03-03,Business,Arabic,632,152434,11290,2401,597,0.79,Middle East,True,11891.2,852.41,644
v0064,Middle East Budget Watch #64,2024-03-04,Finance,Arabic,439,68836,4018,946,293,0.84,Middle East,False,3136.0,158.12,309
v0065,Middle East Launch Meta #65,2024-03-05,Gaming,English,747,248479,12947,3767,2327,0.83,Middle East,False,29111.3,354.84,581
v0066,Middle East Studio Reset #66,2024-03-06,Lifestyle,English,580,369325,24322,5081,3816,0.75,Middle East,True,25508.2,1066.89,1018
v0067,Africa Growth Workshop #67,2024-03-07,Education,French,660,170704,11723,1472,1279,0.83,Africa,False,10428.4,342.06,749
v0068,Africa Next.js Review #68,2024-03-08,Technology,French,611,154154,9189,2378,1118,0.89,Africa,True,14088.5,987.51,446
v0069,Africa Revenue Pulse #69,2024-03-09,Business,English,726,163694,13252,2128,1297,0.82,Africa,True,10502.4,638.02,335
v0070,Africa Investor Lens #70,2024-03-10,Finance,English,616,163715,9740,1731,1423,0.79,Africa,True,9457.2,526.5,662
v0071,Africa Creator Challenge #71,2024-03-11,Gaming,English,760,257716,17011,3797,1507,0.69,Africa,True,20159.7,1768.82,324
v0072,Africa Weekly Upgrade #72,2024-03-12,Lifestyle,French,404,243953,18286,1179,1248,0.97,Africa,False,10690.9,383.13,841
v0073,North America SQL Playbook #73,2024-03-13,Education,English,626,197657,13785,812,1398,0.8,North America,False,14747.8,610.52,395
v0074,North America AI Systems #74,2024-03-14,Technology,English,569,197490,13548,2318,1795,0.75,North America,True,14543.1,1905.1,644
v0075,North America Boardroom Brief #75,2024-03-15,Business,Spanish,883,132967,6606,1155,471,0.89,North America,False,16640.4,401.51,303
v0076,North America Budget Watch #76,2024-03-16,Finance,Spanish,461,78310,5468,605,219,0.78,North America,False,5611.8,92.67,343
v0077,North America Launch Meta #77,2024-03-17,Gaming,Spanish,844,509559,30448,4680,3899,0.73,North America,False,57134.0,1167.43,1976
v0078,North America Studio Reset #78,2024-03-18,Lifestyle,Spanish,607,533052,19741,7355,5176,0.78,North America,True,33669.7,3083.55,793
v0079,Europe Growth Workshop #79,2024-03-19,Education,English,825,151601,8455,1801,1253,0.82,Europe,True,19277.3,889.77,545
v0080,Europe Next.js Review #80,2024-03-20,Technology,English,495,419829,19911,5091,1549,0.72,Europe,False,23928.5,596.72,952
v0081,Europe Revenue Pulse #81,2024-03-21,Business,French,802,398628,32079,6123,3575,0.81,Europe,True,28033.1,1695.93,1290
v0082,Europe Investor Lens #82,2024-03-22,Finance,English,727,217283,13503,2968,831,0.7,Europe,True,22238.9,1901.54,670
v0083,Europe Creator Challenge #83,2024-03-23,Gaming,German,839,253504,16663,968,489,0.78,Europe,False,30201.7,361.47,540
v0084,Europe Weekly Upgrade #84,2024-03-24,Lifestyle,English,570,175596,9748,1409,1223,0.81,Europe,True,11581.5,759.99,553
v0085,Asia SQL Playbook #85,2024-03-25,Education,Japanese,506,312533,11538,2965,1654,0.88,Asia,False,21178.1,642.48,1307
v0086,Asia AI Systems #86,2024-03-26,Technology,English,798,248229,15414,3078,1269,0.87,Asia,False,25160.9,389.24,687
v0087,Asia Boardroom Brief #87,2024-03-27,Business,Hindi,610,579393,39746,3585,3319,0.71,Asia,True,34751.8,3038.14,1499
v0088,Asia Budget Watch #88,2024-03-28,Finance,Hindi,651,178657,11964,1684,463,0.92,Asia,True,10141.3,1066.34,644
v0089,Asia Launch Meta #89,2024-03-29,Gaming,Hindi,748,449265,17910,3558,3409,0.72,Asia,False,46681.1,1347.24,1583
v0090,Asia Studio Reset #90,2024-03-30,Lifestyle,Hindi,577,264046,11819,1281,2417,0.89,Asia,True,16628.5,2257.15,794
v0091,Latin America Growth Workshop #91,2024-03-31,Education,Portuguese,1029,160266,11829,1096,540,0.86,Latin America,False,22298.0,256.94,350
v0092,Latin America Next.js Review #92,2024-04-01,Technology,Spanish,853,99123,7993,460,635,0.85,Latin America,True,9285.1,608.46,153
v0093,Latin America Revenue Pulse #93,2024-04-02,Business,Portuguese,751,247165,10271,2773,1894,0.8,Latin America,True,18881.2,1918.77,667
v0094,Latin America Investor Lens #94,2024-04-03,Finance,Portuguese,629,100183,6667,1093,639,0.79,Latin America,True,6587.8,432.79,445
v0095,Latin America Creator Challenge #95,2024-04-04,Gaming,Spanish,894,239456,11912,861,1987,0.77,Latin America,True,20170.2,1332.72,829
v0096,Latin America Weekly Upgrade #96,2024-04-05,Lifestyle,Portuguese,385,397485,21483,1963,787,0.76,Latin America,True,16193.1,3517.87,1257
v0097,Middle East SQL Playbook #97,2024-04-06,Education,English,666,167537,8878,1236,796,0.8,Middle East,True,11878.9,655.31,466
v0098,Middle East AI Systems #98,2024-04-07,Technology,Arabic,525,76544,4973,409,206,0.93,Middle East,True,4037.2,302.6,117
v0099,Middle East Boardroom Brief #99,2024-04-08,Business,Arabic,725,221088,12280,3327,1483,0.69,Middle East,True,20832.4,1651.81,889
v0100,Middle East Budget Watch #100,2024-04-09,Finance,English,631,84493,3100,831,380,0.82,Middle East,True,6168.8,257.17,330
v0101,Middle East Launch Meta #101,2024-04-10,Gaming,Arabic,600,297631,20675,1194,2889,0.67,Middle East,True,22325.5,1210.84,927
v0102,Middle East Studio Reset #102,2024-04-11,Lifestyle,Arabic,703,183378,6977,2122,392,0.65,Middle East,False,17479.9,606.16,519
v0103,Africa Growth Workshop #103,2024-04-12,Education,English,805,173978,6352,1980,819,0.75,Africa,True,14873.3,1209.51,409
v0104,Africa Next.js Review #104,2024-04-13,Technology,French,759,497126,30807,2618,2407,0.77,Africa,True,58794.1,4000.94,1179
v0105,Africa Revenue Pulse #105,2024-04-14,Business,English,783,94659,6984,1205,734,0.71,Africa,True,9005.1,723.1,234
v0106,Africa Investor Lens #106,2024-04-15,Finance,French,841,80555,3337,579,697,0.97,Africa,True,8132.5,548.6,288
v0107,Africa Creator Challenge #107,2024-04-16,Gaming,English,787,458183,19555,5571,3315,0.72,Africa,True,54363.3,3768.66,528
v0108,Africa Weekly Upgrade #108,2024-04-17,Lifestyle,French,500,142983,7942,1454,642,0.9,Africa,True,10255.4,894.83,560
v0109,North America SQL Playbook #109,2024-04-18,Education,Spanish,803,186201,10825,1626,597,0.74,North America,True,14367.0,1362.32,755
v0110,North America AI Systems #110,2024-04-19,Technology,English,860,444482,33272,3139,3751,0.88,North America,True,38903.1,4294.31,673
v0111,North America Boardroom Brief #111,2024-04-20,Business,Spanish,643,195255,7403,1231,892,0.83,North America,True,11081.2,1596.15,424
v0112,North America Budget Watch #112,2024-04-21,Finance,English,640,85102,5775,775,157,0.74,North America,True,4723.1,391.15,333
v0113,North America Launch Meta #113,2024-04-22,Gaming,Spanish,949,303918,21914,2800,840,0.76,North America,True,43538.4,2204.79,321
v0114,North America Studio Reset #114,2024-04-23,Lifestyle,English,602,238978,14130,1913,2412,0.88,North America,True,17677.1,2087.24,663
v0115,Europe Growth Workshop #115,2024-04-24,Education,English,863,143147,4978,1911,687,0.83,Europe,True,16993.8,1073.66,529
v0116,Europe Next.js Review #116,2024-04-25,Technology,French,606,156449,11555,1886,1616,0.88,Europe,True,11166.0,629.2,230
v0117,Europe Revenue Pulse #117,2024-04-26,Business,French,790,181129,6522,2747,1138,0.8,Europe,False,22535.2,396.2,341
v0118,Europe Investor Lens #118,2024-04-27,Finance,French,725,110641,4422,896,1055,0.73,Europe,True,11099.2,1059.74,260
v0119,Europe Creator Challenge #119,2024-04-28,Gaming,English,643,318812,21966,1430,2244,0.73,Europe,True,29625.1,2185.36,677
v0120,Europe Weekly Upgrade #120,2024-04-29,Lifestyle,English,526,206576,11425,1877,1678,0.76,Europe,True,16457.3,1527.8,521
v0121,Asia SQL Playbook #121,2024-04-30,Education,Japanese,832,214157,17075,1131,1517,0.75,Asia,False,25181.0,196.78,264
v0122,Asia AI Systems #122,2024-05-01,Technology,Japanese,559,233591,18580,1903,1971,0.75,Asia,True,16347.5,1572.02,559
v0123,Asia Boardroom Brief #123,2024-05-02,Business,Japanese,767,151707,10801,1866,556,0.77,Asia,True,14911.0,1215.64,681
v0124,Asia Budget Watch #124,2024-05-03,Finance,English,756,317133,12118,3813,2903,0.73,Asia,True,25272.9,1683.95,389
v0125,Asia Launch Meta #125,2024-05-04,Gaming,Japanese,797,343343,14542,2753,1287,0.65,Asia,True,43010.6,3013.9,627
v0126,Asia Studio Reset #126,2024-05-05,Lifestyle,Hindi,586,341807,21661,1564,1534,0.73,Asia,True,31707.7,2805.27,970
v0127,Latin America Growth Workshop #127,2024-05-06,Education,Portuguese,737,149896,11413,1986,1104,0.79,Latin America,False,10462.7,486.23,376
v0128,Latin America Next.js Review #128,2024-05-07,Technology,Spanish,825,192882,8645,2959,1217,0.93,Latin America,False,16334.2,198.44,325
v0129,Latin America Revenue Pulse #129,2024-05-08,Business,Portuguese,653,119780,9486,650,902,0.79,Latin America,True,10684.7,876.8,472
v0130,Latin America Investor Lens #130,2024-05-09,Finance,Spanish,550,176274,9518,2024,1081,0.69,Latin America,False,12539.1,274.11,766
v0131,Latin America Creator Challenge #131,2024-05-10,Gaming,Portuguese,679,381928,15883,3320,2230,0.77,Latin America,True,27752.1,1421.01,1533
v0132,Latin America Weekly Upgrade #132,2024-05-11,Lifestyle,Portuguese,450,149928,8454,1026,593,0.78,Latin America,True,5942.9,729.2,351
v0133,Middle East SQL Playbook #133,2024-05-12,Education,English,712,159193,7802,2075,976,0.91,Middle East,True,13668.3,1033.21,331
v0134,Middle East AI Systems #134,2024-05-13,Technology,Arabic,698,157928,5738,1108,1105,0.89,Middle East,True,16106.3,1239.05,315
v0135,Middle East Boardroom Brief #135,2024-05-14,Business,Arabic,693,101810,5249,866,688,0.69,Middle East,False,6751.7,225.29,128
v0136,Middle East Budget Watch #136,2024-05-15,Finance,English,768,153299,11061,1186,1528,0.76,Middle East,False,16397.4,203.71,426
v0137,Middle East Launch Meta #137,2024-05-16,Gaming,Arabic,720,180845,11411,1798,841,0.75,Middle East,True,16697.7,699.42,807
v0138,Middle East Studio Reset #138,2024-05-17,Lifestyle,English,398,209892,11920,778,982,0.8,Middle East,True,7441.5,1227.66,435
v0139,Africa Growth Workshop #139,2024-05-18,Education,English,922,68275,3067,282,408,0.83,Africa,True,7637.6,561.58,253
v0140,Africa Next.js Review #140,2024-05-19,Technology,French,740,179907,6280,1335,560,0.8,Africa,True,17874.3,1043.63,667
v0141,Africa Revenue Pulse #141,2024-05-20,Business,French,768,156076,7741,1838,994,0.82,Africa,False,12581.0,197.32,654
v0142,Africa Investor Lens #142,2024-05-21,Finance,French,576,282930,13209,2702,2865,0.67,Africa,True,16664.4,1394.36,1215
v0143,Africa Creator Challenge #143,2024-05-22,Gaming,French,714,351918,21433,5342,2842,0.74,Africa,False,25865.5,796.53,1020
v0144,Africa Weekly Upgrade #144,2024-05-23,Lifestyle,French,517,152118,8402,1020,907,0.75,Africa,False,7571.3,331.05,648
v0145,North America SQL Playbook #145,2024-05-24,Education,Spanish,787,194742,11585,2234,439,0.93,North America,True,17272.8,1595.99,263
v0146,North America AI Systems #146,2024-05-25,Technology,English,475,385811,29384,3652,1363,0.89,North America,True,28501.8,1969.61,1257
v0147,North America Boardroom Brief #147,2024-05-26,Business,English,737,103517,8098,903,940,0.78,North America,True,11687.5,298.49,406
v0148,North America Budget Watch #148,2024-05-27,Finance,Spanish,615,157198,12350,1208,904,0.85,North America,True,12610.1,1051.61,646
v0149,North America Launch Meta #149,2024-05-28,Gaming,English,889,339449,19018,2279,1160,0.76,North America,False,41598.4,952.41,1014
v0150,North America Studio Reset #150,2024-05-29,Lifestyle,English,679,435705,18678,2290,2010,0.85,North America,True,29539.4,2019.11,794
v0151,Europe Growth Workshop #151,2024-05-30,Education,German,939,88887,5977,380,251,0.85,Europe,False,8715.3,163.9,245
v0152,Europe Next.js Review #152,2024-05-31,Technology,French,788,298764,13325,4620,1780,0.79,Europe,False,27295.9,985.96,689
v0153,Europe Revenue Pulse #153,2024-06-01,Business,French,680,169082,7757,2186,1588,0.75,Europe,True,9994.1,1028.8,585
v0154,Europe Investor Lens #154,2024-06-02,Finance,English,595,219824,16490,1983,1696,0.76,Europe,False,17829.5,451.1,911
v0155,Europe Creator Challenge #155,2024-06-03,Gaming,German,803,285472,16041,3878,2310,0.75,Europe,False,25525.6,819.27,1030
v0156,Europe Weekly Upgrade #156,2024-06-04,Lifestyle,French,502,207339,15949,3281,1224,0.79,Europe,True,10708.7,830.16,305
v0157,Asia SQL Playbook #157,2024-06-05,Education,Japanese,887,203964,15448,3025,1033,0.84,Asia,False,24180.7,506.61,588
v0158,Asia AI Systems #158,2024-06-06,Technology,Japanese,896,239088,16807,3761,1393,0.79,Asia,False,29238.2,452.03,556
v0159,Asia Boardroom Brief #159,2024-06-07,Business,English,883,187410,7387,2552,1020,0.75,Asia,True,23190.4,1779.14,197
v0160,Asia Budget Watch #160,2024-06-08,Finance,English,554,215800,9872,874,1212,0.66,Asia,True,14649.7,1830.89,801
v0161,Asia Launch Meta #161,2024-06-09,Gaming,English,828,176032,11037,2095,807,0.69,Asia,True,15162.3,654.39,582
v0162,Asia Studio Reset #162,2024-06-10,Lifestyle,English,389,214747,9106,2573,1425,0.75,Asia,True,7034.0,1135.25,698
v0163,Latin America Growth Workshop #163,2024-06-11,Education,Portuguese,843,95512,6706,899,877,0.89,Latin America,False,8369.4,248.15,364
v0164,Latin America Next.js Review #164,2024-06-12,Technology,Spanish,735,127658,9991,1798,332,0.89,Latin America,True,12846.3,521.58,247
v0165,Latin America Revenue Pulse #165,2024-06-13,Business,Spanish,697,61943,3531,890,290,0.71,Latin America,False,6691.6,53.91,265
v0166,Latin America Investor Lens #166,2024-06-14,Finance,Spanish,595,200659,9920,1412,1175,0.8,Latin America,True,15641.8,1004.44,453
v0167,Latin America Creator Challenge #167,2024-06-15,Gaming,Portuguese,847,510209,22321,3781,1121,0.69,Latin America,True,63855.0,4276.45,539
v0168,Latin America Weekly Upgrade #168,2024-06-16,Lifestyle,Portuguese,465,156024,9428,2386,739,0.78,Latin America,True,10151.9,1000.31,551
v0169,Middle East SQL Playbook #169,2024-06-17,Education,English,868,139005,5954,2031,1447,0.9,Middle East,True,18702.6,929.49,547
v0170,Middle East AI Systems #170,2024-06-18,Technology,Arabic,509,261953,11816,3232,492,0.87,Middle East,False,15985.5,461.96,828
v0171,Middle East Boardroom Brief #171,2024-06-19,Business,English,696,128870,6154,1260,1014,0.72,Middle East,True,10229.1,1279.65,209
v0172,Middle East Budget Watch #172,2024-06-20,Finance,Arabic,658,78662,5676,353,798,0.83,Middle East,True,6017.3,353.74,270
v0173,Middle East Launch Meta #173,2024-06-21,Gaming,English,956,453343,17448,3735,2995,0.66,Middle East,True,36804.0,1212.11,725
v0174,Middle East Studio Reset #174,2024-06-22,Lifestyle,English,833,218424,16807,3274,829,0.78,Middle East,False,27411.2,559.15,651
v0175,Africa Growth Workshop #175,2024-06-23,Education,French,1027,176100,8645,2732,1216,0.87,Africa,True,25150.4,1436.83,421
v0176,Africa Next.js Review #176,2024-06-24,Technology,English,786,159709,9574,1325,1315,0.74,Africa,True,17830.3,1273.94,203
v0177,Africa Revenue Pulse #177,2024-06-25,Business,French,618,93463,7461,790,797,0.88,Africa,True,4786.0,442.26,418
v0178,Africa Investor Lens #178,2024-06-26,Finance,French,717,114290,5970,1503,499,0.84,Africa,True,8172.0,362.68,221
v0179,Africa Creator Challenge #179,2024-06-27,Gaming,French,818,290332,9943,2134,1431,0.77,Africa,True,24114.3,1054.94,480
v0180,Africa Weekly Upgrade #180,2024-06-28,Lifestyle,French,658,168703,10569,2244,1571,0.84,Africa,True,9048.7,983.15,628
v0181,North America SQL Playbook #181,2024-06-29,Education,English,839,103871,5990,445,579,0.88,North America,True,9874.5,662.39,131
v0182,North America AI Systems #182,2024-06-30,Technology,Spanish,599,292646,11853,1049,1534,0.77,North America,False,25595.6,520.97,1175
v0183,North America Boardroom Brief #183,2024-07-01,Business,Spanish,1002,137494,6598,1675,834,0.76,North America,True,17268.8,617.47,318
v0184,North America Budget Watch #184,2024-07-02,Finance,Spanish,729,233098,16513,894,1894,0.77,North America,True,26151.7,987.23,883
v0185,North America Launch Meta #185,2024-07-03,Gaming,English,684,436138,19895,5117,3498,0.74,North America,False,42339.8,443.39,1948
v0186,North America Studio Reset #186,2024-07-04,Lifestyle,Spanish,618,339647,12147,5300,2684,0.75,North America,True,30170.1,2456.26,1426
v0187,Europe Growth Workshop #187,2024-07-05,Education,English,760,149862,12170,1793,790,0.83,Europe,False,15842.5,485.92,375
v0188,Europe Next.js Review #188,2024-07-06,Technology,English,533,93396,4166,763,544,0.78,Europe,True,6641.2,745.81,142
v0189,Europe Revenue Pulse #189,2024-07-07,Business,English,613,199841,11793,1569,529,0.88,Europe,True,16747.4,1224.84,246
v0190,Europe Investor Lens #190,2024-07-08,Finance,English,822,192012,8776,1090,613,0.92,Europe,False,19587.1,619.11,347
v0191,Europe Creator Challenge #191,2024-07-09,Gaming,German,697,150575,11502,1373,833,0.8,Europe,True,8490.7,643.77,297
v0192,Europe Weekly Upgrade #192,2024-07-10,Lifestyle,French,484,296658,13822,4237,1895,0.86,Europe,False,18703.6,688.85,931
v0193,Asia SQL Playbook #193,2024-07-11,Education,Japanese,856,130227,9432,1951,903,0.92,Asia,True,14807.2,656.72,238
v0194,Asia AI Systems #194,2024-07-12,Technology,English,637,301077,15781,1752,2206,0.83,Asia,True,25793.2,2298.13,1354
v0195,Asia Boardroom Brief #195,2024-07-13,Business,Japanese,803,163166,12326,2512,981,0.72,Asia,True,12543.1,912.88,483
v0196,Asia Budget Watch #196,2024-07-14,Finance,Japanese,728,213075,8090,827,1794,0.71,Asia,True,16019.7,1010.8,614
v0197,Asia Launch Meta #197,2024-07-15,Gaming,English,708,401829,24708,2751,2621,0.74,Asia,False,44843.5,877.97,1466
v0198,Asia Studio Reset #198,2024-07-16,Lifestyle,Japanese,525,194798,8937,2811,405,0.71,Asia,True,10328.8,1816.52,254
v0199,Latin America Growth Workshop #199,2024-07-17,Education,Spanish,692,42370,2886,483,137,0.81,Latin America,False,2679.4,57.1,73
v0200,Latin America Next.js Review #200,2024-07-18,Technology,Spanish,840,165155,7935,1760,1665,0.96,Latin America,True,16726.1,1588.99,636
v0201,Latin America Revenue Pulse #201,2024-07-19,Business,Spanish,808,73981,4916,711,504,0.7,Latin America,False,6064.7,138.04,191
v0202,Latin America Investor Lens #202,2024-07-20,Finance,Spanish,746,199172,11437,2145,1864,0.72,Latin America,True,21759.3,662.55,876
v0203,Latin America Creator Challenge #203,2024-07-21,Gaming,Portuguese,1041,308927,17839,2328,1318,0.72,Latin America,False,39595.9,357.73,1230
v0204,Latin America Weekly Upgrade #204,2024-07-22,Lifestyle,Portuguese,791,298903,12429,2751,3117,0.81,Latin America,False,26912.8,991.54,1250
v0205,Middle East SQL Playbook #205,2024-07-23,Education,English,732,145157,7526,2147,470,0.8,Middle East,True,11834.9,723.31,500
v0206,Middle East AI Systems #206,2024-07-24,Technology,Arabic,579,120184,6653,432,575,0.77,Middle East,True,6258.3,1118.99,412
v0207,Middle East Boardroom Brief #207,2024-07-25,Business,English,796,92124,7027,480,785,0.82,Middle East,True,10202.8,335.2,412
